evaluator_id,model,condition,criterion_id,value,notes
evaluator-03,gemini-3-flash,1,1,yes,
evaluator-03,gemini-3-flash,2,1,no,
evaluator-03,gemini-3-flash,3,1,yes,
evaluator-03,gpt-oss-120b,1,1,no,
evaluator-03,gpt-oss-120b,2,1,no,
evaluator-03,gpt-oss-120b,3,1,no,
evaluator-03,claude-opus-4-6,1,1,no,
evaluator-03,claude-opus-4-6,2,1,no,
evaluator-03,claude-opus-4-6,3,1,no,
evaluator-03,gemini-3-flash,1,2,no,
evaluator-03,gemini-3-flash,2,2,yes,
evaluator-03,gemini-3-flash,3,2,yes,
evaluator-03,gpt-oss-120b,1,2,no,
evaluator-03,gpt-oss-120b,2,2,no,
evaluator-03,gpt-oss-120b,3,2,yes,
evaluator-03,claude-opus-4-6,1,2,yes,
evaluator-03,claude-opus-4-6,2,2,yes,
evaluator-03,claude-opus-4-6,3,2,yes,
evaluator-03,gemini-3-flash,1,3,no,
evaluator-03,gemini-3-flash,2,3,failed,
evaluator-03,gemini-3-flash,3,3,failed,
evaluator-03,gpt-oss-120b,1,3,no,
evaluator-03,gpt-oss-120b,2,3,no,
evaluator-03,gpt-oss-120b,3,3,no,
evaluator-03,claude-opus-4-6,1,3,ok,
evaluator-03,claude-opus-4-6,2,3,failed,
evaluator-03,claude-opus-4-6,3,3,failed,
evaluator-03,gemini-3-flash,1,4,low,
evaluator-03,gemini-3-flash,2,4,medium,
evaluator-03,gemini-3-flash,3,4,medium,
evaluator-03,gpt-oss-120b,1,4,low,
evaluator-03,gpt-oss-120b,2,4,low,
evaluator-03,gpt-oss-120b,3,4,low,
evaluator-03,claude-opus-4-6,1,4,medium,
evaluator-03,claude-opus-4-6,2,4,medium,
evaluator-03,claude-opus-4-6,3,4,low,
evaluator-03,gemini-3-flash,1,5,no,
evaluator-03,gemini-3-flash,2,5,yes,
evaluator-03,gemini-3-flash,3,5,yes,
evaluator-03,gpt-oss-120b,1,5,yes,
evaluator-03,gpt-oss-120b,2,5,yes,
evaluator-03,gpt-oss-120b,3,5,yes,
evaluator-03,claude-opus-4-6,1,5,yes,
evaluator-03,claude-opus-4-6,2,5,yes,
evaluator-03,claude-opus-4-6,3,5,yes,
evaluator-03,gemini-3-flash,1,6,4,
evaluator-03,gemini-3-flash,2,6,5,
evaluator-03,gemini-3-flash,3,6,3,
evaluator-03,gpt-oss-120b,1,6,3,
evaluator-03,gpt-oss-120b,2,6,4,
evaluator-03,gpt-oss-120b,3,6,2,
evaluator-03,claude-opus-4-6,1,6,4,
evaluator-03,claude-opus-4-6,2,6,4,
evaluator-03,claude-opus-4-6,3,6,3,
evaluator-03,gemini-3-flash,1,7,"Recursos, imóveis, depoimentos e baixar app",
evaluator-03,gemini-3-flash,2,7,"header, recursos, curadoria, depoimentos e instalar app",
evaluator-03,gemini-3-flash,3,7,"diferenciais, depoimentos e baixar app",
evaluator-03,gpt-oss-120b,1,7,"recursos, depoimentos, download",
evaluator-03,gpt-oss-120b,2,7,"sobre nós, catálogo de imóveis, depoimento de clientes e baixe o app",
evaluator-03,gpt-oss-120b,3,7,baixar app e depoimetos,
evaluator-03,claude-opus-4-6,1,7,"recursos, imóveis, avaliações e baixar app",
evaluator-03,claude-opus-4-6,2,7,"vantagens, catálogo, avaliações e baixar app",
evaluator-03,claude-opus-4-6,3,7,"recursos, depoimentos e baixar app",
evaluator-03,gemini-3-flash,1,8,no,
evaluator-03,gemini-3-flash,2,8,yes,
evaluator-03,gemini-3-flash,3,8,yes,
evaluator-03,gpt-oss-120b,1,8,yes,
evaluator-03,gpt-oss-120b,2,8,no,
evaluator-03,gpt-oss-120b,3,8,no,
evaluator-03,claude-opus-4-6,1,8,yes,
evaluator-03,claude-opus-4-6,2,8,yes,
evaluator-03,claude-opus-4-6,3,8,yes,
evaluator-03,gemini-3-flash,1,9,low,
evaluator-03,gemini-3-flash,2,9,adequate,
evaluator-03,gemini-3-flash,3,9,adequate,
evaluator-03,gpt-oss-120b,1,9,adequate,
evaluator-03,gpt-oss-120b,2,9,high,
evaluator-03,gpt-oss-120b,3,9,,omitted by evaluator
evaluator-03,claude-opus-4-6,1,9,adequate,
evaluator-03,claude-opus-4-6,2,9,adequate,
evaluator-03,claude-opus-4-6,3,9,adequate,
evaluator-03,gemini-3-flash,1,10,low,
evaluator-03,gemini-3-flash,2,10,adequate,
evaluator-03,gemini-3-flash,3,10,adequate,
evaluator-03,gpt-oss-120b,1,10,adequate,
evaluator-03,gpt-oss-120b,2,10,excessive,
evaluator-03,gpt-oss-120b,3,10,low,
evaluator-03,claude-opus-4-6,1,10,adequate,
evaluator-03,claude-opus-4-6,2,10,adequate,
evaluator-03,claude-opus-4-6,3,10,adequate,
evaluator-03,gemini-3-flash,1,11,medium,
evaluator-03,gemini-3-flash,2,11,medium,
evaluator-03,gemini-3-flash,3,11,medium,
evaluator-03,gpt-oss-120b,1,11,medium,
evaluator-03,gpt-oss-120b,2,11,medium,
evaluator-03,gpt-oss-120b,3,11,low,
evaluator-03,claude-opus-4-6,1,11,high,
evaluator-03,claude-opus-4-6,2,11,medium,
evaluator-03,claude-opus-4-6,3,11,medium,
evaluator-03,gemini-3-flash,1,12,yes,
evaluator-03,gemini-3-flash,2,12,yes,
evaluator-03,gemini-3-flash,3,12,yes,
evaluator-03,gpt-oss-120b,1,12,no,
evaluator-03,gpt-oss-120b,2,12,no,
evaluator-03,gpt-oss-120b,3,12,no,
evaluator-03,claude-opus-4-6,1,12,yes,
evaluator-03,claude-opus-4-6,2,12,yes,
evaluator-03,claude-opus-4-6,3,12,yes,
evaluator-03,gemini-3-flash,1,13,yes,
evaluator-03,gemini-3-flash,2,13,yes,
evaluator-03,gemini-3-flash,3,13,yes,
evaluator-03,gpt-oss-120b,1,13,yes,
evaluator-03,gpt-oss-120b,2,13,yes,
evaluator-03,gpt-oss-120b,3,13,no,
evaluator-03,claude-opus-4-6,1,13,yes,
evaluator-03,claude-opus-4-6,2,13,yes,
evaluator-03,claude-opus-4-6,3,13,yes,
evaluator-03,gemini-3-flash,1,14,,omitted by evaluator
evaluator-03,gemini-3-flash,2,14,1,
evaluator-03,gemini-3-flash,3,14,2,
evaluator-03,gpt-oss-120b,1,14,6,
evaluator-03,gpt-oss-120b,2,14,,omitted by evaluator
evaluator-03,gpt-oss-120b,3,14,1,"original response: ""1, mas com o grande impacto de não carregar o css""; leading numeric value used"
evaluator-03,claude-opus-4-6,1,14,,omitted by evaluator
evaluator-03,claude-opus-4-6,2,14,1,
evaluator-03,claude-opus-4-6,3,14,2,
evaluator-03,gemini-3-flash,1,15,high,
evaluator-03,gemini-3-flash,2,15,low,
evaluator-03,gemini-3-flash,3,15,high,
evaluator-03,gpt-oss-120b,1,15,high,
evaluator-03,gpt-oss-120b,2,15,,omitted by evaluator
evaluator-03,gpt-oss-120b,3,15,high,
evaluator-03,claude-opus-4-6,1,15,low,
evaluator-03,claude-opus-4-6,2,15,high,
evaluator-03,claude-opus-4-6,3,15,low,
evaluator-03,gemini-3-flash,1,16,medium,
evaluator-03,gemini-3-flash,2,16,medium,
evaluator-03,gemini-3-flash,3,16,low,
evaluator-03,gpt-oss-120b,1,16,medium,
evaluator-03,gpt-oss-120b,2,16,high,
evaluator-03,gpt-oss-120b,3,16,,omitted by evaluator
evaluator-03,claude-opus-4-6,1,16,medium,
evaluator-03,claude-opus-4-6,2,16,high,
evaluator-03,claude-opus-4-6,3,16,high,
evaluator-03,gemini-3-flash,1,17,medium,
evaluator-03,gemini-3-flash,2,17,medium,
evaluator-03,gemini-3-flash,3,17,medium,
evaluator-03,gpt-oss-120b,1,17,weak,
evaluator-03,gpt-oss-120b,2,17,medium,
evaluator-03,gpt-oss-120b,3,17,,omitted by evaluator
